Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
kcnj10,29.63460738,0.585230225,0.464330143,1.260375259,0.207534022,0.618087705
LOC107379852,3.611077189,0.76434325,0.868051653,0.880527383,0.378573678,0.77380374
cept1,617.2158283,-0.295762664,0.293700717,-1.007020571,0.313924889,0.726565135
LOC107386695,4.227519399,1.550791312,1.16694385,1.32893396,0.183869759,0.585053286
LOC107388619,6.818916301,1.172349558,0.868474366,1.349895406,0.177049535,0.576157584
LOC107394473,39.81703671,0.563989064,0.331311971,1.702290025,0.088701014,0.415070123
bloc1s3,649.3952098,-0.129472406,0.309955592,-0.41771276,0.676157142,0.912243661
asic4,1.787405471,0.30363734,1.231433858,0.246572188,0.805239331,NA
chmp5,119.1895743,0.258575984,0.394918734,0.654757452,0.512623929,0.848963062
b4galt2,15.59135121,0.513609691,0.562983074,0.912300413,0.361610597,0.763013438
