Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC107376745,1.163893041,0.494886167,1.231761939,0.401770952,0.687852602,NA
galnt13,1.93754329,1.129976005,1.078169425,1.0480505,0.29461534,NA
LOC107373935,6.517399137,0.525796918,0.74343339,0.707254914,0.479408079,0.96123409
plekha1,124.3636856,0.152526211,0.238690074,0.639013632,0.522814064,0.963051255
sema4d,10.17694958,0.097853861,0.650738661,0.150373517,0.880469934,0.99821504
LOC107378186,7.865562934,-1.458260736,0.811733436,-1.796477354,0.072418631,0.693870668
LOC107380151,1.111879713,-0.105306901,1.296858547,-0.081201532,0.935281681,NA
jam2,378.1634537,-0.083960343,0.201880515,-0.415891266,0.677489571,0.981697321
agmo,1512.895634,0.64589034,0.43863431,1.472503007,0.140885095,0.808944414
LOC107381435,8940.893046,0.150863829,1.178795186,0.127981375,0.898163712,0.999054741
LOC107395569,1.106217593,-0.428588445,1.25641289,-0.341120701,0.733012718,NA
kif1c,152.7149203,0.271803591,0.355221376,0.765166767,0.444172246,0.957684192
plscr3,404.5936576,-0.139864913,0.380360952,-0.367716276,0.713084803,0.981697321
LOC107395561,2.895340345,-0.473667965,0.941961107,-0.502852997,0.61506763,NA
csgr01h5orf45,25.94361306,-0.12693185,0.510453475,-0.248664877,0.80362002,0.991140331
LOC107392405,1253.571266,-0.088735842,0.310568291,-0.285720868,0.77509192,0.985585141
LOC107390353,1168.150974,0.106610883,0.277164984,0.384647733,0.700498424,0.981697321
ofcc1,1.413569303,-1.433946379,1.162690008,-1.233300681,0.217463604,NA
LOC107380458,233.3035706,0.063433091,0.357125177,0.177621446,0.859020281,0.997717753
LOC107385733,798.266503,0.452339926,0.762611995,0.59314557,0.553083736,0.967040972
LOC107388702,2.996796682,1.288076155,1.260582149,1.021810563,0.306870569,NA
rsph14,39.87262678,-0.805932943,0.607911175,-1.325741286,0.184925407,0.849722062
LOC107382264,12.06985103,0.121462281,1.027654478,0.118193696,0.905914184,0.999054741
ensa,727.7194554,-0.160587855,0.181061016,-0.886926732,0.375118348,0.945135121
ormdl1,806.1778476,-0.253021973,0.342041035,-0.739741574,0.459456817,0.957684192
clrn1,54.59202344,0.01029683,0.453281921,0.022716171,0.981876676,0.999497929
mfsd6l,190.8948087,0.145352297,0.700972705,0.207357999,0.835730282,0.995674824
bbs12,20.07621719,0.166306914,0.62599812,0.265666794,0.790495839,0.988221495
LOC107387944,614.7768337,0.006556932,0.310225305,0.021136033,0.983137141,0.999497929
kcnj11,2.410588053,0.654633074,1.034350049,0.632893163,0.526803413,NA
mcfd2,11334.41619,-0.120238917,0.226586037,-0.530654573,0.595658171,0.97174452
