Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC107383883,2.371854757,0.098573432,0.935454314,0.105374929,0.916078309,NA
LOC107392881,10.01915855,-1.138052855,0.898242804,-1.266976868,0.205163561,0.502254757
rpusd1,249.7110801,0.442990997,0.318120515,1.392525715,0.16376326,0.442794411
LOC107373936,24.38376678,0.401001973,0.563445854,0.711695669,0.47665325,0.756004675
cd82,90.50949236,0.07327186,0.339393168,0.215890792,0.829072875,0.937356365
LOC107382809,707.5799676,-0.095970947,0.211463461,-0.453841747,0.649942734,0.855881973
ace,582.8367853,2.110546278,0.473408053,4.458196821,8.27E-06,0.00026118
ppcs,760.4481832,1.130979764,0.323361938,3.497566139,0.000469524,0.007437578
LOC107382174,7.626107806,0.485695776,0.842896852,0.576222079,0.564465083,0.808896043
LOC107385012,78.0900944,-0.332669929,0.472058725,-0.704721492,0.480983574,0.759071879
LOC107376220,878.21967,-0.426471048,0.526537888,-0.809953201,0.417967073,0.713033356
reln,182.0156666,0.220795451,0.28035048,0.787569368,0.430948638,0.722679294
LOC107379077,141.7466425,0.208893069,0.383625723,0.544523103,0.586081555,0.821186714
elac2,675.5953129,-0.356329995,0.350084064,-1.017841231,0.308753414,0.617553452
pla2r1,15.29061303,-0.730070808,0.771656464,-0.946108588,0.344093204,0.651064616
gripap1,245.0682888,-0.100270727,0.333168699,-0.300960826,0.763444367,0.911118828
LOC107384374,581.3764406,1.247689124,0.236927562,5.266120643,1.39E-07,7.60E-06
LOC107385006,59.81106997,1.188698687,0.463721552,2.56338892,0.010365586,0.075073007
LOC107383476,7944.093767,0.197799381,0.146326297,1.351769201,0.17644916,0.462371103
LOC107396379,1.588435785,0.713747391,1.190000107,0.59978767,0.548647752,NA
LOC107372361,174.0623769,0.095924552,0.250126302,0.383504461,0.701345763,0.882811303
LOC107385668,1756.639087,-0.421720909,0.206782955,-2.03943748,0.041406385,0.192494051
coasy,461.0962612,0.409590207,0.302201213,1.355355932,0.175304183,0.461099739
kif13b,16.37576564,0.162638463,0.734245324,0.221504255,0.824699824,0.935789409
tom1,489.3786109,0.014824508,0.298754343,0.049621062,0.960424363,0.985593057
LOC107391969,1.411478254,-0.767524536,1.231369277,-0.623309798,0.53308096,NA
LOC107379259,2.620611122,0.922794471,1.159868399,0.795602735,0.426262976,NA
LOC107376640,77.11747586,-0.255172847,0.374632312,-0.681128774,0.495790011,0.767781093
LOC107394487,5.166419744,-0.248148176,1.008564035,-0.246041071,0.805650439,0.927836359
LOC107395392,1.234885352,0.696509668,1.206768065,0.577169456,0.563824988,NA
LOC107372866,14.59114642,-0.469099014,0.95351978,-0.491965687,0.622743601,0.841845936
LOC107392319,1.225375739,-0.238175271,1.304141895,-0.182629875,0.855088442,NA
immp1l,72.52280622,-0.536515228,0.370821857,-1.446827412,0.147945267,0.419370594
gphn,2.61088034,-0.696089457,0.879884679,-0.79111442,0.428877225,NA
LOC107396339,14.38617662,0.206017088,0.607371314,0.339194629,0.734463115,0.897940708
LOC107383275,2171.244347,-0.395058914,0.244226653,-1.617591324,0.1057507,0.343614131
LOC107374148,3.522212627,1.207803545,1.144780561,1.055052458,0.291401334,0.599194256
ube2d3,2272.4502,0.044005627,0.279112225,0.157662842,0.874722482,0.954621242
LOC107375559,3.781474026,0.049935092,0.952003845,0.052452616,0.95816805,0.984855076
prss48,8028.381312,-0.663351356,0.514425065,-1.289500456,0.197224158,0.491370211
lsm14b,4.075848683,0.063474694,0.926167992,0.068534752,0.945359957,0.980455034
LOC107394599,1.898108723,-0.012443554,1.047285584,-0.01188172,0.990519982,NA
nop10,735.5613303,-0.247044539,0.324308866,-0.761756969,0.446205067,0.735311633
LOC107380166,27.72031497,1.482185436,0.494510861,2.9972758,0.002724041,0.027962869
LOC107376891,1.108932696,-0.238148931,1.297809564,-0.183500675,0.85440519,NA
LOC107372567,13.90628218,0.23428625,0.655675778,0.357320276,0.720852052,0.891390763
LOC107396667,54.35552659,-1.613603704,0.744527268,-2.167286242,0.030213035,0.155824821
LOC107376745,1.163893041,0.361899802,1.231761907,0.293806619,0.768905677,NA
galnt13,1.93754329,1.569347939,1.154483467,1.359350725,0.174035477,NA
LOC107373935,6.517399137,0.528886265,0.750138514,0.705051474,0.480778204,0.758997315
plekha1,124.3636856,-0.911840242,0.232822505,-3.916460913,8.99E-05,0.001905603
sema4d,10.17694958,-0.164721206,0.646622901,-0.254740754,0.798923337,0.925203125
LOC107378186,7.865562934,-1.526123574,0.813701026,-1.87553355,0.060719358,0.245116805
LOC107380151,1.111879713,-0.562673324,1.256023671,-0.447979873,0.654167722,NA
jam2,378.1634537,0.492559077,0.203776436,2.417154245,0.015642387,0.099797111
agmo,1512.895634,1.133754834,0.438868936,2.583356309,0.009784422,0.072237571
LOC107381435,8940.893046,3.84296545,1.178997302,3.25952014,0.001116009,0.014525699
LOC107395569,1.106217593,-0.238146799,1.297305719,-0.183570299,0.854350565,NA
kif1c,152.7149203,0.697527226,0.357438418,1.951461264,0.0510022,0.219599519
plscr3,404.5936576,-0.186597937,0.380494282,-0.490409306,0.623844293,0.842644276
LOC107395561,2.895340345,0.144837523,0.987851293,0.146618751,0.883432952,0.957957198
csgr01h5orf45,25.94361306,-0.388562105,0.508915876,-0.763509497,0.445159601,0.734521426
LOC107392405,1253.571266,-0.031541117,0.310659245,-0.101529626,0.919130041,0.971473029
LOC107390353,1168.150974,0.060833457,0.277228148,0.219434632,0.826311495,0.936192588
ofcc1,1.413569303,-0.23811669,1.290318418,-0.18454103,0.853589043,NA
LOC107380458,233.3035706,-0.172509311,0.356946449,-0.483291854,0.628888523,0.844607091
LOC107385733,798.266503,-1.07019634,0.762151894,-1.404177235,0.160266079,0.436549854
LOC107388702,2.996796682,-0.704320069,1.101544532,-0.639393187,0.52256718,0.785572376
rsph14,39.87262678,-1.418763811,0.604511973,-2.346957337,0.018927422,0.113877899
LOC107382264,12.06985103,-0.760505557,1.017491952,-0.747431521,0.454803124,0.740469243
ensa,727.7194554,-0.239815427,0.181157416,-1.323795798,0.185570872,0.476380721
ormdl1,806.1778476,0.231439517,0.342478485,0.675778269,0.499181434,0.770043568
clrn1,54.59202344,0.137290022,0.45535853,0.301498738,0.763034213,0.910961879
mfsd6l,190.8948087,-3.657479347,0.690969372,-5.293258273,1.20E-07,6.70E-06
bbs12,20.07621719,-0.64507984,0.615774187,-1.047591557,0.294826829,0.601842881
LOC107387944,614.7768337,0.045582481,0.310412281,0.146844967,0.883254391,0.957957198
kcnj11,2.410588053,0.485321643,1.030353247,0.47102452,0.637623225,NA
mcfd2,11334.41619,-0.731031147,0.226553039,-3.226754987,0.001252026,0.015674921
nck1,196.4495724,-0.026720152,0.316466528,-0.084432791,0.932712337,0.976569273
LOC107377285,17.76714425,-1.013565416,0.732914072,-1.382925304,0.166687771,0.447505437
LOC107385954,18.45224104,0.282081722,0.637993565,0.442138821,0.658388754,0.860227933
LOC107374655,1.590619775,-0.864542898,1.233035054,-0.7011503,0.483209223,NA
LOC107379070,26.71966061,-0.354961467,0.559018432,-0.634972743,0.525446192,0.78765619
LOC107392531,692.8064416,-0.980351964,0.231370846,-4.237145613,2.26E-05,0.000616525
LOC107397012,1.186078554,0.402174647,1.232653964,0.326267273,0.744222147,NA
LOC107378170,1.410912378,0.787563317,1.211089514,0.650293234,0.515502827,NA
LOC107390787,576.7581299,0.038733432,0.290475538,0.133344902,0.893920618,0.961727811
LOC107372477,46.1132745,-0.304374708,0.536547085,-0.567284244,0.57052108,0.812538644
LOC107375188,1.309754584,-0.238053557,1.276406256,-0.18650297,0.85205035,NA
LOC107379717,1.175447255,-0.238134299,1.294375422,-0.183976221,0.854032109,NA
LOC107375045,46.82839692,0.126714716,0.667428212,0.189855198,0.8494226,0.94605913
LOC107393006,247.702542,0.291851308,0.364363566,0.800989273,0.423137856,0.717070387
LOC107386102,88.81933543,-0.249860632,0.430372259,-0.580568629,0.56153122,0.807392757
LOC107378862,11.57772492,-0.268457962,0.790666598,-0.339533708,0.734207708,0.897870107
LOC107396969,3.07238139,0.611897464,1.010468465,0.605558199,0.544808167,0.797361808
zcchc7,190.3827188,-0.128485824,0.32115573,-0.400073274,0.689102548,0.87680355
